# peacockdb cost-model calibration record. One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# The partition is not a column: a node's regions are written consecutively, p0 first.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, label, node_seq) recurs, and a repeat of the root's node_seq is
#   where one execution's rows end. Spread across those repeats is data, not noise.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# node_type = the plan node's name. Its cost CATEGORY is deliberately not a column: it
#   is a lookup in cost_model.conf, which changes on its own, and a column would freeze
#   the taxonomy as it stood when the rows were written. The writer still refuses to
#   emit a node type the taxonomy does not bin.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.2GiB of 139.2GiB free on a discrete device
source	dataset	sf	query	label	node_seq	node_type	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us
peacockdb	tpch	40	q9	full_table-tp1-full	24	GpuSortExec	175	5509	175	5509	5509	2	675	673	677
peacockdb	tpch	40	q9	full_table-tp1-full	23	GpuProjectExec	175	5509	175	5509	5509	0	95	94	95
peacockdb	tpch	40	q9	full_table-tp1-full	22	GpuAggregateExec	13057981	410650036	175	5509	5509	4	20651	20650	20655
peacockdb	tpch	40	q9	full_table-tp1-full	21	GpuProjectExec	13057981	1042329868	13057981	410650036	410650036	0	2089	2088	2089
peacockdb	tpch	40	q9	full_table-tp1-full	20	GpuCoalesceBatchesExec	13057981	1042329868	13057981	1042329868	1042329868	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	19	GpuHashJoinExec	13058006	949968509	13057981	1042329868	1042329868	1	7986	6773	7987
peacockdb	tpch	40	q9	full_table-tp1-full	0	GpuScanExec	0	0	25	389	389	2	1299	1292	1301
peacockdb	tpch	40	q9	full_table-tp1-full	18	GpuProjectExec	13057981	949968120	13057981	949968120	949968120	0	144	680	144
peacockdb	tpch	40	q9	full_table-tp1-full	17	GpuCoalesceBatchesExec	13057981	949968120	13057981	949968120	949968120	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	16	GpuHashJoinExec	73057981	1737200044	13057981	949968120	949968120	0	20980	20375	20980
peacockdb	tpch	40	q9	full_table-tp1-full	1	GpuScanExec	0	0	60000000	735000000	735000000	1	94464	94461	94465
peacockdb	tpch	40	q9	full_table-tp1-full	15	GpuProjectExec	13057981	1002200044	13057981	1002200044	1002200044	0	156	707	156
peacockdb	tpch	40	q9	full_table-tp1-full	14	GpuCoalesceBatchesExec	13057981	1002200044	13057981	1002200044	1002200044	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	13	GpuHashJoinExec	45057981	2039832292	13057981	1002200044	1002200044	1	22207	21701	22208
peacockdb	tpch	40	q9	full_table-tp1-full	2	GpuScanExec	0	0	32000000	1036000000	1036000000	2	82387	82385	82389
peacockdb	tpch	40	q9	full_table-tp1-full	12	GpuProjectExec	13057981	1003832292	13057981	1003832292	1003832292	0	157	729	157
peacockdb	tpch	40	q9	full_table-tp1-full	11	GpuCoalesceBatchesExec	13057981	1003832292	13057981	1003832292	1003832292	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	10	GpuHashJoinExec	13457981	954868120	13057981	1003832292	1003832292	0	5619	5698	5619
peacockdb	tpch	40	q9	full_table-tp1-full	3	GpuScanExec	0	0	400000	4900000	4900000	2	32009	32007	32011
peacockdb	tpch	40	q9	full_table-tp1-full	9	GpuCoalesceBatchesExec	13057981	949968120	13057981	949968120	949968120	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	8	GpuHashJoinExec	240447693	17464431752	13057981	949968120	949968120	3	42193	43325	42196
peacockdb	tpch	40	q9	full_table-tp1-full	6	GpuCoalesceBatchesExec	435403	3537650	435403	3537650	3537650	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	5	GpuFilterExec	8000000	359987376	435403	3537650	3537650	1	2736	2734	2737
peacockdb	tpch	40	q9	full_table-tp1-full	4	GpuScanExec	0	0	8000000	359987376	359987376	2	110601	110599	110603
peacockdb	tpch	40	q9	full_table-tp1-full	7	GpuScanExec	0	0	240012290	17460894102	17460894102	8	462162	462161	462170
peacockdb	tpch	40	q9	full_table-tp1-full	24	GpuSortExec	175	5509	175	5509	5509	1	650	649	651
peacockdb	tpch	40	q9	full_table-tp1-full	23	GpuProjectExec	175	5509	175	5509	5509	0	91	90	91
peacockdb	tpch	40	q9	full_table-tp1-full	22	GpuAggregateExec	13057981	410650036	175	5509	5509	2	20517	20516	20519
peacockdb	tpch	40	q9	full_table-tp1-full	21	GpuProjectExec	13057981	1042329868	13057981	410650036	410650036	0	2095	2093	2095
peacockdb	tpch	40	q9	full_table-tp1-full	20	GpuCoalesceBatchesExec	13057981	1042329868	13057981	1042329868	1042329868	0	0	0	0
peacockdb	tpch	40	q9	full_table-tp1-full	19	GpuHashJoinExec	13058006	949968509	13057981	1042329868	1042329868	1	8023	6784	8024
peacockdb	tpch	40	q9	full_table-tp1-full	0	GpuScanExec	0	0	25	389	389	2	1363	1356	1365
