# peacockdb cost-model calibration record. One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# The partition is not a column: a node's regions are written consecutively, p0 first.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, label, node_seq) recurs, and a repeat of the root's node_seq is
#   where one execution's rows end. Spread across those repeats is data, not noise.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# node_type = the plan node's name. Its cost CATEGORY is deliberately not a column: it
#   is a lookup in cost_model.conf, which changes on its own, and a column would freeze
#   the taxonomy as it stood when the rows were written. The writer still refuses to
#   emit a node type the taxonomy does not bin.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
source	dataset	sf	query	label	node_seq	node_type	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	2	1129	1128	1131
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	248	247	249
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	6	390	6	439	439	4	716	711	720
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	6	390	6	390	390	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	92	5923	6	390	390	2	573	572	575
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	92	5923	92	5923	5923	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	54429	889625	92	5923	5923	2	638	637	640
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	92	6647	92	6647	6647	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	27880	458179	92	6647	6647	2	394	393	396
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	92	6623	92	6623	6623	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	15	GpuHashJoinExec	109870	949951	92	6623	6623	2	593	592	595
peacockdb	tpcds	1	q10	full_table-tp1-standard	8	GpuCoalesceBatchesExec	897	64545	897	64545	64545	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	7	GpuHashJoinExec	1921732	137729662	897	64545	64545	2	1296	1295	1298
peacockdb	tpcds	1	q10	full_table-tp1-standard	5	GpuCoalesceBatchesExec	932	15146	932	15146	15146	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	4	GpuHashJoinExec	100459	2441230	932	15146	15146	1	316	315	317
